id;Movie;Budget;Box office;Release year;Rating;Popularity;Director;Producer
164;Payback;90000000;161626121;1999;6.8;13.026;Brian Helgeland;Bruce Davey
165;16 Blocks;55000000;65664721;2006;6.4;12.92;Richard Donner;Avi Lerner, Randall Emmett, Arnold Rifkin, John Thompson, Jim Van Wyck
166;U.S. Marshals;60000000;102367405;1998;6.4;12.915;Stuart Baird;Arnold Kopelson, Anne Kopelson
167;White Chicks;37000000;113086475;2004;6.8;12.913;Keenen Ivory Wayans;Marlon Wayans, Keenen Ivory Wayans, Shawn Wayans, Rick Alvarez, Lee R. Mayes
168;Get Shorty;30250000;115101622;1995;6.5;12.884;Barry Sonnenfeld;Danny DeVito, Michael Shamberg, Stacey Sher
169;Assassins;50000000;30303072;1995;6.2;12.844;Richard Donner;Joel Silver, Bruce A. Evans, Raynold Gideon, Richard Donner, Jim Van Wyck, Andrew Lazar
170;Baby's Day Out;50000000;16671505;1994;5.9;12.806;Patrick Read Johnson;John Hughes, Richard Vane
171;Disclosure;55000000;214015089;1994;6.0;12.8;Barry Levinson;Barry Levinson
172;Adaptation.;19000000;32801173;2002;7.4;12.778;Spike Jonze;Jonathan Demme, Edward Saxon, Vincent Landay
173;Cleaner;25000000;0;2007;6.0;12.72;Renny Harlin;Steve Golin, Michael P. Flannigan
174;RoboCop 2;35000000;45681173;1990;5.9;12.62;Irvin Kershner;Jon Davison
175;Street Kings;20000000;65569869;2008;6.5;12.607;David Ayer;Erwin Stoff, Lucas Foster, Alexandra Milchan
176;Taxi;25000000;36609966;2004;5.1;12.548;Tim Story;Luc Besson
177;Middle Men;22000000;0;2009;6.5;12.543;George Gallo;William Sherak, Jason Shuman, Christopher Mallick, Michael Weiss
178;Little Man;64000000;101595121;2006;5.7;12.519;Keenen Ivory Wayans;Marlon Wayans, Keenen Ivory Wayans, Shawn Wayans, Rick Alvarez, Lee R. Mayes
179;Police Academy: Mission to Moscow;0;126247;1994;4.4;12.512;Alan Metter;Paul Maslansky
180;Starsky & Hutch;60000000;170268750;2004;5.8;12.488;Todd Phillips;Akiva Goldsman, Stuart Cornfeld, Tony Ludwig, Alan Riche, William Blinn
181;Layer Cake;6500000;11850214;2004;7.0;12.476;Matthew Vaughn;Matthew Vaughn, Adam Bohling, David Reid
182;Lord of War;50000000;72617068;2005;7.2;12.457;Andrew Niccol;Nicolas Cage, Andreas Grosch, Andrew Niccol, Norman Golightly, Christopher Roberts, Teri-Lin Robertson, Philippe Rousselet
